,Cluster_rbf_2_0.125,Cluster_rbf_3_0.125,Cluster_rbf_4_0.125,Cluster_rbf_5_0.125,Cluster_rbf_6_0.125,Cluster_rbf_7_0.125,Cluster_rbf_8_0.125,Cluster_rbf_9_0.125,Cluster_rbf_10_0.125,Cluster_rbf_2_0.25,Cluster_rbf_3_0.25,Cluster_rbf_4_0.25,Cluster_rbf_5_0.25,Cluster_rbf_6_0.25,Cluster_rbf_7_0.25,Cluster_rbf_8_0.25,Cluster_rbf_9_0.25,Cluster_rbf_10_0.25,Cluster_rbf_2_0.5,Cluster_rbf_3_0.5,Cluster_rbf_4_0.5,Cluster_rbf_5_0.5,Cluster_rbf_6_0.5,Cluster_rbf_7_0.5,Cluster_rbf_8_0.5,Cluster_rbf_9_0.5,Cluster_rbf_10_0.5,Cluster_rbf_2_1,Cluster_rbf_3_1,Cluster_rbf_4_1,Cluster_rbf_5_1,Cluster_rbf_6_1,Cluster_rbf_7_1,Cluster_rbf_8_1,Cluster_rbf_9_1,Cluster_rbf_10_1,Cluster_rbf_2_2,Cluster_rbf_3_2,Cluster_rbf_4_2,Cluster_rbf_5_2,Cluster_rbf_6_2,Cluster_rbf_7_2,Cluster_rbf_8_2,Cluster_rbf_9_2,Cluster_rbf_10_2,Cluster_ZZ_full_2_0.125,Cluster_ZZ_full_3_0.125,Cluster_ZZ_full_4_0.125,Cluster_ZZ_full_5_0.125,Cluster_ZZ_full_6_0.125,Cluster_ZZ_full_7_0.125,Cluster_ZZ_full_8_0.125,Cluster_ZZ_full_9_0.125,Cluster_ZZ_full_10_0.125,Cluster_ZZ_full_2_0.25,Cluster_ZZ_full_3_0.25,Cluster_ZZ_full_4_0.25,Cluster_ZZ_full_5_0.25,Cluster_ZZ_full_6_0.25,Cluster_ZZ_full_7_0.25,Cluster_ZZ_full_8_0.25,Cluster_ZZ_full_9_0.25,Cluster_ZZ_full_10_0.25,Cluster_ZZ_full_2_0.5,Cluster_ZZ_full_3_0.5,Cluster_ZZ_full_4_0.5,Cluster_ZZ_full_5_0.5,Cluster_ZZ_full_6_0.5,Cluster_ZZ_full_7_0.5,Cluster_ZZ_full_8_0.5,Cluster_ZZ_full_9_0.5,Cluster_ZZ_full_10_0.5,Cluster_ZZ_full_2_1,Cluster_ZZ_full_3_1,Cluster_ZZ_full_4_1,Cluster_ZZ_full_5_1,Cluster_ZZ_full_6_1,Cluster_ZZ_full_7_1,Cluster_ZZ_full_8_1,Cluster_ZZ_full_9_1,Cluster_ZZ_full_10_1,Cluster_ZZ_full_2_2,Cluster_ZZ_full_3_2,Cluster_ZZ_full_4_2,Cluster_ZZ_full_5_2,Cluster_ZZ_full_6_2,Cluster_ZZ_full_7_2,Cluster_ZZ_full_8_2,Cluster_ZZ_full_9_2,Cluster_ZZ_full_10_2,Cluster_Z_full_2_0.125,Cluster_Z_full_3_0.125,Cluster_Z_full_4_0.125,Cluster_Z_full_5_0.125,Cluster_Z_full_6_0.125,Cluster_Z_full_7_0.125,Cluster_Z_full_8_0.125,Cluster_Z_full_9_0.125,Cluster_Z_full_10_0.125,Cluster_Z_full_2_0.25,Cluster_Z_full_3_0.25,Cluster_Z_full_4_0.25,Cluster_Z_full_5_0.25,Cluster_Z_full_6_0.25,Cluster_Z_full_7_0.25,Cluster_Z_full_8_0.25,Cluster_Z_full_9_0.25,Cluster_Z_full_10_0.25,Cluster_Z_full_2_0.5,Cluster_Z_full_3_0.5,Cluster_Z_full_4_0.5,Cluster_Z_full_5_0.5,Cluster_Z_full_6_0.5,Cluster_Z_full_7_0.5,Cluster_Z_full_8_0.5,Cluster_Z_full_9_0.5,Cluster_Z_full_10_0.5,Cluster_Z_full_2_1,Cluster_Z_full_3_1,Cluster_Z_full_4_1,Cluster_Z_full_5_1,Cluster_Z_full_6_1,Cluster_Z_full_7_1,Cluster_Z_full_8_1,Cluster_Z_full_9_1,Cluster_Z_full_10_1,Cluster_Z_full_2_2,Cluster_Z_full_3_2,Cluster_Z_full_4_2,Cluster_Z_full_5_2,Cluster_Z_full_6_2,Cluster_Z_full_7_2,Cluster_Z_full_8_2,Cluster_Z_full_9_2,Cluster_Z_full_10_2,Cluster_ZZ_linear_2_0.125,Cluster_ZZ_linear_3_0.125,Cluster_ZZ_linear_4_0.125,Cluster_ZZ_linear_5_0.125,Cluster_ZZ_linear_6_0.125,Cluster_ZZ_linear_7_0.125,Cluster_ZZ_linear_8_0.125,Cluster_ZZ_linear_9_0.125,Cluster_ZZ_linear_10_0.125,Cluster_ZZ_linear_2_0.25,Cluster_ZZ_linear_3_0.25,Cluster_ZZ_linear_4_0.25,Cluster_ZZ_linear_5_0.25,Cluster_ZZ_linear_6_0.25,Cluster_ZZ_linear_7_0.25,Cluster_ZZ_linear_8_0.25,Cluster_ZZ_linear_9_0.25,Cluster_ZZ_linear_10_0.25,Cluster_ZZ_linear_2_0.5,Cluster_ZZ_linear_3_0.5,Cluster_ZZ_linear_4_0.5,Cluster_ZZ_linear_5_0.5,Cluster_ZZ_linear_6_0.5,Cluster_ZZ_linear_7_0.5,Cluster_ZZ_linear_8_0.5,Cluster_ZZ_linear_9_0.5,Cluster_ZZ_linear_10_0.5,Cluster_ZZ_linear_2_1,Cluster_ZZ_linear_3_1,Cluster_ZZ_linear_4_1,Cluster_ZZ_linear_5_1,Cluster_ZZ_linear_6_1,Cluster_ZZ_linear_7_1,Cluster_ZZ_linear_8_1,Cluster_ZZ_linear_9_1,Cluster_ZZ_linear_10_1,Cluster_ZZ_linear_2_2,Cluster_ZZ_linear_3_2,Cluster_ZZ_linear_4_2,Cluster_ZZ_linear_5_2,Cluster_ZZ_linear_6_2,Cluster_ZZ_linear_7_2,Cluster_ZZ_linear_8_2,Cluster_ZZ_linear_9_2,Cluster_ZZ_linear_10_2
1307,1,1,0,1,1,1,0,6,9,1,1,0,1,1,1,0,6,9,1,1,0,1,1,1,0,6,9,1,1,0,1,1,1,0,6,9,1,1,0,1,1,1,0,6,9,1,1,3,3,1,2,0,4,4,1,0,0,3,2,4,1,3,0,1,0,3,2,5,0,2,2,2,0,2,0,1,4,0,7,6,5,1,2,1,3,0,0,1,4,9,1,0,3,1,4,4,0,5,3,1,1,2,2,0,1,6,3,0,0,2,1,3,2,2,3,4,5,1,2,3,4,1,0,6,2,2,0,1,0,0,5,4,3,3,8,0,2,2,3,1,0,0,6,2,0,2,1,0,4,5,4,4,5,1,0,0,2,0,3,2,5,9,0,0,1,2,2,2,0,1,7,0,0,0,1,3,0,1,5,0
1161,0,0,3,3,3,6,3,1,3,0,0,3,3,3,6,3,1,3,0,0,3,3,3,6,3,1,3,0,0,3,3,3,6,3,1,3,0,0,3,3,3,6,3,1,3,1,2,3,1,5,5,1,1,1,0,1,2,1,0,6,2,2,2,0,1,0,2,5,0,2,2,2,0,2,0,0,5,5,5,4,8,0,1,0,0,0,0,0,4,1,1,0,1,3,3,5,4,7,7,1,1,0,1,3,4,1,0,1,0,2,1,4,5,6,6,3,6,0,0,0,4,3,3,0,7,0,0,0,1,4,0,2,5,5,5,0,0,2,3,5,3,3,0,5,0,2,1,0,3,3,5,0,8,1,1,2,1,4,5,1,3,2,0,0,0,0,0,6,7,0,3,1,1,3,2,4,3,6,0,6
1200,0,0,3,4,0,4,6,0,0,0,0,3,4,0,4,6,0,0,0,0,3,4,0,4,6,0,0,0,0,3,4,0,4,6,0,0,0,0,3,4,0,4,6,0,0,0,0,1,3,4,1,4,7,1,1,0,1,3,2,4,1,0,9,1,0,2,1,4,3,6,8,0,1,1,3,2,0,2,1,3,7,1,0,1,4,2,1,5,1,7,0,2,2,2,1,0,6,1,1,0,2,1,3,2,6,7,7,6,1,0,3,2,0,3,4,7,0,0,0,0,3,4,2,4,3,8,0,0,1,4,0,2,5,5,0,0,0,3,0,5,6,7,8,7,0,0,0,1,3,4,7,6,0,1,0,0,1,0,0,6,7,7,0,0,1,4,4,1,4,6,9,0,0,2,3,2,2,0,4,4
1523,0,0,3,3,3,6,1,7,2,0,0,3,3,3,6,1,7,2,0,0,3,3,3,6,1,7,2,0,0,3,3,3,6,1,7,2,0,0,3,3,3,6,1,7,2,1,2,3,1,1,2,1,2,7,0,1,2,1,3,0,5,7,4,0,2,3,4,3,6,0,5,6,0,0,2,3,1,1,6,0,6,1,0,3,3,2,2,7,7,3,1,0,3,0,0,0,6,1,8,1,1,2,1,3,0,1,1,3,0,2,1,4,5,6,6,6,4,0,0,2,4,3,3,0,7,9,0,1,0,4,0,6,2,1,0,0,0,3,0,2,5,5,2,8,0,2,1,3,5,6,5,3,9,0,2,3,0,2,5,5,3,2,0,1,2,3,3,4,3,0,4,0,0,2,3,2,1,2,6,3
809,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,2,2,0,3,2,5,9,0,2,3,0,1,2,4,1,3,0,2,3,4,3,6,1,5,1,0,0,2,3,1,1,6,0,1,1,0,3,2,3,2,7,4,1,1,0,3,1,4,4,0,5,5,1,1,2,2,0,2,2,8,5,0,2,1,3,4,4,2,5,3,1,2,3,2,5,5,7,4,5,0,0,1,1,3,1,0,7,7,0,2,0,2,4,4,2,7,4,1,1,2,2,2,1,3,2,4,0,2,3,3,5,4,3,4,5,0,1,2,1,5,0,2,2,1,1,1,3,0,4,3,6,2,5
1517,0,0,2,4,0,4,6,0,0,0,0,2,4,0,4,6,0,0,0,0,2,4,0,4,6,0,0,0,0,2,4,0,4,6,0,0,0,0,2,4,0,4,6,0,0,0,0,1,4,2,1,4,7,8,1,0,1,3,2,4,1,3,0,1,0,2,1,4,3,6,4,9,1,1,3,2,0,6,1,1,2,1,0,1,4,5,1,1,0,9,0,2,2,2,1,6,7,4,3,0,2,1,3,2,6,7,7,8,1,0,3,2,0,3,4,7,9,0,0,0,3,4,2,4,3,8,0,1,0,0,0,6,2,1,1,0,0,3,0,5,6,7,8,7,0,0,0,1,3,4,0,6,0,0,0,0,0,0,0,6,0,7,0,1,2,1,5,0,2,2,1,1,1,0,1,4,3,6,8,5
548,0,0,3,3,3,6,3,1,3,0,0,3,3,3,6,3,1,3,0,0,3,3,3,6,3,1,3,0,0,3,3,3,6,3,1,3,0,0,3,3,3,6,3,1,3,1,2,3,1,5,5,5,4,4,0,1,2,2,5,3,6,4,7,0,1,0,3,2,1,7,6,4,0,2,1,0,5,5,5,8,4,1,0,0,1,2,5,4,4,1,1,0,1,3,3,5,1,6,2,1,1,0,1,3,4,5,5,1,0,2,1,4,5,6,5,2,7,0,0,0,4,3,6,5,0,3,1,2,2,3,3,3,7,8,3,0,0,2,3,1,0,6,6,2,0,2,1,0,4,5,4,4,5,1,1,1,4,0,3,2,5,9,1,1,2,2,2,3,6,5,5,1,1,3,4,2,1,2,4,4
1630,0,0,3,3,3,6,3,1,3,0,0,3,3,3,6,3,1,3,0,0,3,3,3,6,3,1,3,0,0,3,3,3,6,3,1,3,0,0,3,3,3,6,3,1,3,0,2,3,1,5,6,1,1,7,0,1,2,1,0,6,2,2,2,0,1,0,2,1,2,4,1,7,0,2,0,1,5,5,5,4,8,0,2,2,4,5,6,3,5,4,1,0,1,3,3,5,1,1,2,1,1,0,1,3,4,1,0,3,1,0,1,4,5,6,6,3,6,0,0,2,4,3,3,0,7,0,0,0,1,4,0,2,5,2,5,0,0,2,3,1,3,3,0,5,0,2,1,0,0,3,5,0,8,1,1,2,1,4,5,1,3,6,0,0,0,0,0,6,7,3,3,1,2,1,4,5,4,7,6,7
231,1,1,3,3,4,1,0,6,9,1,1,3,3,4,1,0,6,9,1,1,3,3,4,1,0,6,9,1,1,3,3,4,1,0,6,9,1,1,3,3,4,1,0,6,9,1,2,3,3,4,6,0,4,0,0,1,2,1,0,6,7,3,1,0,0,3,2,3,6,1,5,1,1,2,0,1,4,0,7,6,5,1,0,1,3,0,0,1,5,5,1,0,3,3,0,1,5,2,0,1,1,2,1,5,1,5,5,0,0,2,1,4,2,5,3,4,5,1,2,3,4,1,0,6,2,2,0,1,0,4,0,2,4,0,0,0,0,2,3,1,0,6,6,0,0,2,1,0,4,5,4,4,5,1,1,1,4,0,3,2,5,9,1,2,3,2,2,3,6,5,7,0,0,2,0,0,3,6,2,5
693,0,0,3,4,4,1,1,7,2,0,0,3,4,4,1,1,7,2,0,0,3,4,4,1,1,7,2,0,0,3,4,4,1,1,7,2,0,0,3,4,4,1,1,7,2,0,0,1,3,4,6,0,3,0,1,0,0,4,3,1,7,6,1,1,0,3,2,5,0,2,1,7,1,1,0,3,1,1,6,0,1,1,0,1,3,0,2,7,7,3,0,2,2,3,0,6,4,2,0,0,2,1,3,5,1,6,1,3,1,0,3,2,2,5,3,6,4,0,0,0,4,1,0,6,7,9,0,1,3,2,2,5,6,6,6,0,0,2,3,1,0,0,3,0,0,2,0,1,0,0,6,5,7,1,1,2,4,3,2,0,6,6,0,0,0,4,4,2,1,3,0,0,0,2,3,2,1,1,1,8
1435,1,1,0,1,1,3,0,6,9,1,1,0,1,1,3,0,6,9,1,1,0,1,1,3,0,6,9,1,1,0,1,1,3,0,6,9,1,1,0,1,1,3,0,6,9,1,1,3,3,1,2,1,2,3,1,0,0,4,3,0,5,7,8,1,0,3,4,3,4,5,7,5,1,1,3,2,0,2,1,1,6,1,0,1,3,2,1,4,6,8,1,0,3,1,4,4,6,0,6,1,1,2,2,0,1,6,3,0,0,2,1,3,4,2,3,4,5,1,2,3,4,1,0,2,6,6,0,0,1,1,1,0,1,2,9,0,2,0,3,2,5,5,2,8,0,2,1,3,5,6,2,7,6,0,2,3,0,2,6,4,0,3,0,0,1,4,4,1,4,6,9,0,0,2,0,2,1,2,0,7
1538,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,2,2,0,3,2,5,9,0,2,3,0,1,2,4,1,3,0,2,3,4,3,6,1,5,1,0,0,2,3,1,1,6,0,1,1,0,3,3,2,2,1,2,2,1,0,3,1,4,4,0,5,5,1,1,2,2,0,2,2,8,5,0,2,1,3,4,4,2,5,3,1,2,3,2,5,5,7,4,5,0,0,1,1,3,1,0,7,7,0,2,0,2,4,4,2,7,4,1,1,2,2,2,1,3,2,4,0,2,3,3,5,4,3,4,5,0,1,2,1,5,0,2,2,1,0,0,2,0,3,0,4,6,7
781,0,0,2,3,3,0,5,4,5,0,0,2,3,3,0,5,4,5,0,0,2,3,3,0,5,4,5,0,0,2,3,3,0,5,4,5,0,0,2,3,3,0,5,4,5,0,2,0,0,3,0,6,1,7,0,1,2,1,4,5,0,5,4,0,1,0,3,1,2,0,3,8,0,2,1,0,3,4,3,8,4,0,1,0,0,4,5,4,6,8,0,1,1,0,3,5,1,6,2,0,0,0,1,3,4,1,0,4,1,0,0,4,5,6,6,3,6,0,0,2,4,3,3,0,7,9,0,1,0,0,1,0,1,2,9,0,0,3,0,5,3,3,0,5,0,0,0,1,3,3,5,0,8,1,1,2,1,4,5,1,3,6,0,0,0,0,1,2,1,3,0,1,1,0,1,4,3,6,8,5
305,0,0,3,4,4,1,0,6,9,0,0,3,4,4,1,0,6,9,0,0,3,4,4,1,0,6,9,0,0,3,4,4,1,0,6,9,0,0,3,4,4,1,0,6,9,0,2,3,3,4,6,0,3,0,1,0,0,4,3,1,7,6,1,1,0,3,2,5,0,2,2,2,1,1,0,1,4,0,7,6,5,1,0,3,1,2,4,6,0,9,1,2,2,3,0,1,1,4,1,1,2,1,3,5,1,6,3,0,1,0,3,2,2,5,3,4,5,0,0,0,4,1,0,6,2,2,1,2,2,3,4,3,4,8,3,0,0,2,3,1,0,0,3,0,0,2,1,0,0,0,6,5,7,1,1,1,4,3,2,0,6,4,1,2,3,2,2,5,5,4,6,0,2,2,3,5,2,7,6,7
1040,1,1,3,4,4,1,0,6,9,1,1,3,4,4,1,0,6,9,1,1,3,4,4,1,0,6,9,1,1,3,4,4,1,0,6,9,1,1,3,4,4,1,0,6,9,0,2,3,3,4,6,0,3,0,1,0,0,4,3,1,7,6,1,1,0,3,2,5,0,2,2,2,1,1,0,1,4,0,7,6,5,1,2,3,2,3,3,2,3,2,1,2,2,3,0,1,5,2,0,1,2,1,3,5,1,6,3,0,1,0,3,2,2,5,3,4,5,0,0,0,4,1,0,6,2,2,1,2,3,2,2,5,4,0,2,0,0,2,3,1,0,0,3,0,0,2,1,0,0,0,6,5,7,1,1,1,4,3,2,0,6,4,1,2,3,2,2,5,5,4,6,0,2,2,3,2,4,7,6,7
579,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,2,2,0,3,2,5,9,0,2,3,0,1,2,4,1,3,0,2,3,4,3,6,1,5,1,0,0,2,3,1,1,6,0,1,1,0,3,3,2,2,7,4,1,1,0,3,1,4,4,0,5,6,1,1,2,2,0,2,2,8,5,0,2,1,3,4,4,2,5,3,1,2,3,2,5,5,7,4,5,0,0,1,1,1,0,0,7,7,0,2,0,2,4,4,2,7,4,1,1,2,2,2,1,3,2,4,0,2,3,3,5,4,3,4,5,0,1,2,1,5,0,2,2,1,1,1,3,2,2,1,2,6,7
926,0,0,3,3,3,6,1,7,2,0,0,3,3,3,6,1,7,2,0,0,3,3,3,6,1,7,2,0,0,3,3,3,6,1,7,2,0,0,3,3,3,6,1,7,2,0,2,3,3,4,6,1,1,7,0,1,2,1,4,5,0,5,4,0,2,3,4,3,6,1,5,1,0,0,2,3,1,1,6,0,1,0,2,3,2,3,2,2,7,3,0,1,1,3,0,1,5,6,3,0,0,0,1,3,4,1,1,3,1,0,3,4,5,6,6,6,4,0,0,0,4,3,3,0,7,9,0,0,1,4,0,6,2,1,1,0,0,3,0,5,3,3,0,5,0,2,0,1,3,3,5,0,8,1,1,2,1,4,5,1,3,6,0,0,0,3,3,4,3,0,4,0,2,1,4,0,4,5,6,3
70,0,0,2,4,0,4,6,0,0,0,0,2,4,0,4,6,0,0,0,0,2,4,0,4,6,0,0,0,0,2,4,0,4,6,0,0,0,0,2,4,0,4,6,0,0,0,0,1,4,2,1,4,7,8,1,0,1,3,2,4,1,3,0,1,0,2,1,5,3,6,4,9,1,1,0,1,4,0,7,6,5,1,0,1,3,2,2,7,1,7,0,2,2,2,1,6,7,4,3,0,2,1,3,2,6,7,7,8,1,0,3,2,0,3,4,7,9,0,0,0,3,4,2,4,3,8,0,1,0,0,0,6,2,1,1,0,0,3,0,5,6,7,8,7,0,0,0,1,3,4,7,6,0,0,0,0,0,2,6,4,7,7,0,1,2,1,5,0,2,2,1,0,0,0,1,3,0,1,1,8
128,0,0,2,4,0,4,6,0,0,0,0,2,4,0,4,6,0,0,0,0,2,4,0,4,6,0,0,0,0,2,4,0,4,6,0,0,0,0,2,4,0,4,6,0,0,0,0,1,4,2,1,4,7,8,1,0,1,3,2,4,1,3,0,1,0,2,1,4,3,6,4,9,1,1,3,2,0,2,1,1,2,1,0,1,3,5,1,1,0,5,0,2,2,2,1,6,7,4,3,0,2,1,3,2,6,7,7,8,1,0,3,2,0,3,4,7,9,0,0,0,3,4,2,4,3,8,0,1,0,0,0,6,2,1,1,0,0,3,4,3,6,7,8,9,0,0,0,1,3,4,0,6,1,0,0,0,0,0,0,6,2,8,0,0,1,1,5,1,4,6,9,1,0,0,1,3,0,4,5,0
1546,1,1,0,1,1,3,4,5,8,1,1,0,1,1,3,4,5,8,1,1,0,1,1,3,4,5,8,1,1,0,1,1,3,4,5,8,1,1,0,1,1,3,4,5,8,1,1,2,2,1,2,1,2,3,0,2,0,4,3,0,5,7,8,1,2,3,4,3,6,1,5,1,1,1,3,3,1,1,4,2,1,1,0,1,3,0,0,0,2,2,1,0,3,1,4,4,0,5,6,1,1,2,2,0,2,2,1,3,0,2,1,3,4,2,3,6,4,1,2,3,2,5,5,2,6,6,0,0,1,1,3,2,5,7,5,0,2,0,2,2,5,5,2,8,1,1,2,2,2,1,2,7,6,0,2,3,0,5,6,3,4,3,0,1,2,1,5,0,2,2,1,1,1,3,2,2,1,2,0,6
1942,0,0,3,3,3,6,3,7,2,0,0,3,3,3,6,3,7,2,0,0,3,3,3,6,3,7,2,0,0,3,3,3,6,3,7,2,0,0,3,3,3,6,3,7,2,0,2,3,1,1,0,1,1,7,0,1,2,1,0,6,0,5,4,0,1,3,4,1,2,1,1,6,0,2,0,3,1,1,6,0,6,0,1,0,0,4,5,7,5,3,0,1,1,0,0,1,1,6,8,0,0,0,1,3,4,1,0,3,1,0,0,4,5,6,6,3,6,0,0,2,4,3,3,0,7,9,0,1,0,4,0,6,2,1,0,0,0,3,0,5,3,3,0,5,0,2,0,3,3,3,5,0,8,1,1,2,1,4,5,1,3,2,0,1,0,3,3,4,3,0,4,1,2,1,4,2,1,2,7,3
1211,1,1,0,4,4,1,1,7,2,1,1,0,4,4,1,1,7,2,1,1,0,4,4,1,1,7,2,1,1,0,4,4,1,1,7,2,1,1,0,4,4,1,1,7,2,0,2,3,3,4,6,0,3,0,0,2,0,4,3,1,7,6,1,0,1,0,3,4,4,5,7,5,0,1,0,3,1,6,2,0,0,1,1,0,1,1,4,6,7,3,1,0,3,3,0,0,6,0,0,1,1,2,3,5,1,6,1,3,0,2,1,3,2,5,3,6,4,0,0,0,4,1,0,2,6,9,0,1,3,2,2,5,6,6,6,0,0,2,3,1,0,0,3,0,0,2,1,0,0,0,6,5,7,1,1,1,4,3,2,0,6,4,0,0,1,2,2,4,1,0,3,0,0,2,3,2,1,2,1,8
1380,0,0,3,3,3,6,3,4,5,0,0,3,3,3,6,3,4,5,0,0,3,3,3,6,3,4,5,0,0,3,3,3,6,3,4,5,0,0,3,3,3,6,3,4,5,1,2,3,1,5,0,1,1,7,0,1,2,1,4,6,2,2,4,0,1,0,3,1,2,0,3,6,0,2,1,0,5,5,5,4,8,0,1,0,0,4,5,4,6,8,1,1,1,0,3,5,4,7,7,1,0,0,1,3,4,1,0,3,0,2,0,4,5,6,6,3,6,0,0,2,4,3,3,0,7,9,0,0,1,4,3,2,5,7,7,0,0,3,0,5,3,3,0,5,0,2,1,3,3,3,5,0,8,1,1,2,1,4,5,1,3,2,0,1,0,3,3,4,3,0,3,1,1,3,2,4,1,6,0,7
936,0,0,2,0,5,5,7,4,5,0,0,2,0,5,5,7,4,5,0,0,2,0,5,5,7,4,5,0,0,2,0,5,5,7,4,5,0,0,2,0,5,5,7,4,5,0,2,0,0,3,0,6,0,5,0,2,3,0,4,5,0,5,4,0,2,1,0,0,5,3,0,3,0,0,1,4,3,4,3,7,9,1,1,1,4,1,4,6,0,9,0,1,0,0,2,2,3,8,4,0,0,3,0,4,0,0,4,4,1,0,0,0,3,0,0,0,8,0,0,2,0,0,4,3,7,9,1,1,0,0,5,4,3,4,8,0,0,3,0,2,5,5,5,3,0,2,0,1,5,6,7,3,9,1,1,2,3,5,4,5,8,0,0,0,1,4,4,4,3,1,4,1,2,1,4,5,4,7,6,7
1972,1,1,0,4,4,1,1,7,2,1,1,0,4,4,1,1,7,2,1,1,0,4,4,1,1,7,2,1,1,0,4,4,1,1,7,2,1,1,0,4,4,1,1,7,2,0,2,3,3,4,6,0,3,0,0,0,0,4,3,1,7,6,1,0,0,3,4,3,4,5,7,5,1,1,3,3,1,1,6,0,2,1,0,0,1,2,2,6,7,3,1,2,3,1,0,1,5,4,3,1,2,2,3,5,1,6,1,3,1,0,3,2,2,2,3,6,4,0,0,0,4,1,0,2,6,6,0,1,3,2,2,5,6,6,6,0,0,2,3,2,5,0,3,8,0,2,1,3,0,0,6,3,9,1,1,2,1,4,5,5,3,2,0,0,0,3,3,4,3,0,3,0,2,2,3,0,4,0,6,1
1274,0,0,3,3,3,6,1,7,2,0,0,3,3,3,6,1,7,2,0,0,3,3,3,6,1,7,2,0,0,3,3,3,6,1,7,2,0,0,3,3,3,6,1,7,2,1,2,3,1,1,0,1,1,7,0,1,2,1,4,5,0,5,4,0,2,3,2,1,2,0,3,6,0,2,1,3,1,1,6,0,6,0,1,0,0,4,2,7,7,3,1,1,0,0,0,0,6,1,8,1,0,3,1,3,0,1,1,3,0,2,0,4,5,6,6,6,4,0,0,2,4,3,3,0,7,9,0,1,0,4,0,6,2,1,1,0,0,3,0,2,5,5,5,3,0,2,1,3,5,6,5,3,8,0,2,3,0,2,5,5,3,2,0,1,2,3,3,4,3,0,4,1,1,2,3,1,1,2,6,3
1170,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,0,1,1,3,4,5,7,1,1,2,2,0,3,2,5,9,0,2,3,0,1,2,4,1,3,0,2,3,4,3,6,1,5,1,0,0,2,3,1,1,6,0,1,1,0,0,1,1,4,6,8,2,1,0,3,1,4,4,0,5,5,1,1,2,2,0,2,2,8,5,0,2,1,3,4,4,2,5,3,1,2,3,2,5,5,7,4,5,0,0,1,1,3,1,0,7,7,0,2,0,2,4,4,2,7,4,1,1,2,2,2,1,3,2,4,0,2,3,3,5,4,3,4,5,0,1,2,3,3,4,3,2,4,1,1,3,0,4,3,6,2,5
307,0,0,2,3,3,6,3,4,5,0,0,2,3,3,6,3,4,5,0,0,2,3,3,6,3,4,5,0,0,2,3,3,6,3,4,5,0,0,2,3,3,6,3,4,5,1,2,3,1,5,0,1,1,7,0,1,2,1,4,5,0,5,4,0,1,0,3,1,2,0,3,6,0,2,1,0,3,4,3,4,6,0,1,0,0,4,5,4,5,4,1,1,1,0,3,1,3,1,8,1,0,0,1,3,0,1,0,3,0,2,0,4,5,6,6,3,6,0,0,2,4,3,3,0,7,9,0,1,0,4,0,2,5,1,1,0,0,3,3,5,3,3,0,5,0,2,1,3,3,3,5,0,8,1,1,2,1,4,5,5,3,2,0,1,0,3,3,4,3,0,4,1,1,3,2,4,5,6,0,3
1280,1,1,3,3,3,6,1,7,2,1,1,3,3,3,6,1,7,2,1,1,3,3,3,6,1,7,2,1,1,3,3,3,6,1,7,2,1,1,3,3,3,6,1,7,2,1,1,3,1,5,5,5,4,4,0,1,0,2,5,3,6,4,7,0,1,1,3,1,2,0,3,8,0,2,0,1,4,5,4,0,6,1,0,1,3,0,2,1,4,1,1,0,3,3,3,5,1,6,2,1,1,2,1,3,2,5,5,1,0,2,1,4,5,4,6,6,4,1,2,3,4,3,6,5,0,3,1,2,3,2,2,5,6,6,0,0,2,2,3,1,0,6,6,2,1,2,1,0,4,5,4,4,5,1,0,0,2,0,0,2,5,6,0,0,1,4,4,1,4,6,9,0,0,2,0,3,0,4,1,0
1786,1,1,0,1,1,3,4,5,8,1,1,0,1,1,3,4,5,8,1,1,0,1,1,3,4,5,8,1,1,0,1,1,3,4,5,8,1,1,0,1,1,3,4,5,8,1,1,2,2,1,2,2,2,3,1,2,3,0,1,2,4,1,3,1,2,3,4,3,6,1,5,1,1,1,3,2,0,2,4,2,0,1,0,1,3,0,0,1,2,5,1,0,3,1,4,4,0,5,5,1,1,2,2,0,2,2,8,5,0,2,1,3,4,2,3,6,4,1,2,3,2,5,5,2,6,6,0,0,1,4,0,2,5,5,5,0,2,0,2,4,5,5,2,8,1,1,2,2,2,1,2,7,6,0,2,3,3,5,4,3,4,5,0,1,2,1,5,0,2,2,1,1,1,3,2,2,1,2,6,7
